РОССИЯ - 4646
ГЕРМАНИЯ - 751
ИНДИЯ - 470
ФРАНЦИЯ - 318
ВЕНГРИЯ - 261
СЛОВЕНИЯ - 258
ИТАЛИЯ - 235
ПОЛЬША - 167
"СОЕДИНЕННОЕ КОРОЛЕВСТВО" - 164
ШВЕЙЦАРИЯ - 148
БЕЛАРУСЬ - 144
ИСПАНИЯ - 138
"СОЕДИНЕННЫЕ ШТАТЫ" - 127
ХОРВАТИЯ - 124
АВСТРИЯ - 102
РУМЫНИЯ - 92
НИДЕРЛАНДЫ - 88
"ЧЕШСКАЯ РЕСПУБЛИКА" - 84
БЕЛЬГИЯ - 82
БОЛГАРИЯ - 81
УКРАИНА - 59
ИЗРАИЛЬ - 55
СЛОВАКИЯ - 54
СЕРБИЯ - 51
ШВЕЦИЯ - 43
ДАНИЯ - 42
ЛАТВИЯ - 32
ИРЛАНДИЯ - 29
КИТАЙ - 29
"РЕСПУБЛИКА МАКЕДОНИЯ" - 25
ФИНЛЯНДИЯ - 22
ТУРЦИЯ - 20
НОРВЕГИЯ - 19
ГРЕЦИЯ - 17
ПАКИСТАН - 17
МАЛЬТА - 17
ВЬЕТНАМ - 14
ПОРТУГАЛИЯ - 13
ЭСТОНИЯ - 11
ЯПОНИЯ - 11
"МОЛДОВА, РЕСПУБЛИКА" - 10
"БОСНИЯ И ГЕРЦЕГОВИНА" - 10
КАЗАХСТАН - 8
АРМЕНИЯ - 7
КАНАДА - 7
"891 - ЮГОСЛАВИЯ" - 6
"КОРЕЯ, РЕСПУБЛИКА" - 5
ЕГИПЕТ - 3
ИСЛАНДИЯ - 3
МЕКСИКА - 3
ЛИТВА - 2
ТАЙЛАНД - 2
ЧЕРНОГОРИЯ - 2
СИНГАПУР - 1
КУБА - 1
